frame,x,y,width,height,box_area,area_ratio,status,closer_chance,tracking
1,885,494,75,50,3750,1.0,📉 MOVING AWAY,100,success
2,885,494,75,50,3750,1.0,📉 MOVING AWAY,100,success
3,886,495,75,50,3750,1.0,📉 MOVING AWAY,100,success
4,886,495,75,50,3750,1.0,📉 MOVING AWAY,100,success
5,886,494,75,50,3750,1.0,📉 MOVING AWAY,100,success
6,886,495,75,50,3750,1.0,📉 MOVING AWAY,100,success
7,886,495,75,50,3750,1.0,📉 MOVING AWAY,100,success
8,886,495,75,50,3750,1.0,📉 MOVING AWAY,100,success
9,886,495,75,50,3750,1.0,📉 MOVING AWAY,100,success
10,886,495,75,50,3750,1.0,📉 MOVING AWAY,100,success
11,887,495,75,50,3750,1.0,📉 MOVING AWAY,100,success
12,884,493,79,52,4108,1.0190933333333334,📈 GETTING CLOSER,38,success
13,887,495,75,50,3750,1.0190933333333334,📈 GETTING CLOSER,38,success
14,887,494,75,50,3750,1.0190933333333334,📈 GETTING CLOSER,38,success
15,886,494,75,50,3750,1.0190933333333334,📈 GETTING CLOSER,38,success
16,886,494,75,50,3750,1.0190933333333334,📈 GETTING CLOSER,38,success
17,886,494,75,50,3750,0.9812643918777476,📉 MOVING AWAY,62,success
18,886,495,75,50,3750,0.9812643918777476,📉 MOVING AWAY,62,success
19,885,495,75,50,3750,0.9812643918777476,📉 MOVING AWAY,62,success
20,886,496,75,50,3750,0.9812643918777476,📉 MOVING AWAY,62,success
21,885,495,75,50,3750,0.9812643918777476,📉 MOVING AWAY,62,success
22,885,495,75,50,3750,1.0,📉 MOVING AWAY,100,success
23,882,493,79,52,4108,1.0190933333333334,📈 GETTING CLOSER,38,success
24,882,493,79,52,4108,1.0381866666666666,📈 GETTING CLOSER,76,success
25,883,494,75,50,3750,1.0381866666666666,📈 GETTING CLOSER,76,success
26,881,494,75,50,3750,1.0381866666666666,📈 GETTING CLOSER,76,success
27,879,493,79,52,4108,1.05728,📈 GETTING CLOSER,100,success
28,879,495,75,50,3750,1.0187356081222525,📈 GETTING CLOSER,37,success
29,879,495,75,50,3750,0.9816089592109319,📉 MOVING AWAY,63,success
30,878,495,75,50,3750,0.9816089592109319,📉 MOVING AWAY,63,success
31,875,494,79,52,4108,1.0,📉 MOVING AWAY,100,success
32,874,493,79,52,4108,0.9819410815173526,📉 MOVING AWAY,63,success
33,872,491,83,55,4565,1.0418678721874037,📈 GETTING CLOSER,83,success
34,873,491,79,52,4108,1.0801235084781244,📈 GETTING CLOSER,100,success
35,872,489,79,52,4108,1.0988591166003767,📈 GETTING CLOSER,100,success
36,868,488,79,52,4108,1.0786499537655398,📈 GETTING CLOSER,100,success
37,869,490,75,50,3750,1.060258912976472,📈 GETTING CLOSER,100,success
38,865,489,75,50,3750,0.9774665943493911,📉 MOVING AWAY,54,success
39,864,489,75,50,3750,0.9431658510586752,📉 MOVING AWAY,0,success
40,863,490,75,50,3750,0.9100347668714579,📉 MOVING AWAY,0,success
41,859,490,79,52,4108,0.9100347668714579,📉 MOVING AWAY,0,success
42,857,490,79,52,4108,0.9431658510586752,📉 MOVING AWAY,0,success
43,854,491,79,52,4108,1.0,📉 MOVING AWAY,100,success
44,853,491,79,52,4108,1.0367820815781363,📈 GETTING CLOSER,73,success
45,851,491,79,52,4108,1.0749424324890098,📈 GETTING CLOSER,100,success
46,848,492,79,52,4108,1.0749424324890098,📈 GETTING CLOSER,100,success
47,848,492,79,52,4108,1.0551731223672045,📈 GETTING CLOSER,100,success
48,846,491,79,52,4108,1.0361178369652946,📈 GETTING CLOSER,72,success
49,845,493,75,50,3750,1.0,📉 MOVING AWAY,100,success
50,843,492,79,52,4108,0.9825705939629991,📉 MOVING AWAY,65,success
51,841,492,79,52,4108,0.9825705939629991,📉 MOVING AWAY,65,success
52,840,493,79,52,4108,0.9825705939629991,📉 MOVING AWAY,65,success
53,840,493,79,52,4108,0.9825705939629991,📉 MOVING AWAY,65,success
54,840,493,79,52,4108,1.0177385789317213,📈 GETTING CLOSER,35,success
55,840,493,79,52,4108,1.0177385789317213,📈 GETTING CLOSER,35,success
56,841,493,79,52,4108,1.0177385789317213,📈 GETTING CLOSER,35,success
57,841,492,79,52,4108,1.0177385789317213,📈 GETTING CLOSER,35,success
58,840,492,79,52,4108,1.0177385789317213,📈 GETTING CLOSER,35,success
59,839,491,83,55,4565,1.022249269717624,📈 GETTING CLOSER,44,success
60,839,491,83,55,4565,1.0444985394352484,📈 GETTING CLOSER,88,success
61,836,491,83,55,4565,1.0667478091528724,📈 GETTING CLOSER,100,success
