frame,x,y,width,height,box_area,smoothed_area,area_ratio,speed,max_approach_speed,approach_duration,status,is_approaching,overtake_chance,overtake_status,tracking
1,888,498,69,43,2967,2967.0,1.0,0,0,0,➡️ STEADY,False,0,🔒 NO OVERTAKE OPPORTUNITY,success
2,888,498,69,43,2967,2967.0,1.0,0,0,0,➡️ STEADY,False,0,🔒 NO OVERTAKE OPPORTUNITY,success
3,889,498,69,43,2967,2967.0,1.0,0,0,0,➡️ STEADY,False,0,🔒 NO OVERTAKE OPPORTUNITY,success
4,889,498,69,43,2967,2967.0,1.0,0,0,0,➡️ STEADY,False,0,🔒 NO OVERTAKE OPPORTUNITY,success
5,889,498,69,43,2967,2967.0,1.0,0,0,0,➡️ STEADY,False,0,🔒 NO OVERTAKE OPPORTUNITY,success
6,889,498,69,43,2967,2967.0,1.0,0,0,0,➡️ STEADY,False,0,🔒 NO OVERTAKE OPPORTUNITY,success
7,889,498,69,43,2967,2967.0,1.0,0,0,0,➡️ STEADY,False,0,🔒 NO OVERTAKE OPPORTUNITY,success
8,889,498,69,43,2967,2967.0,1.0,0,0,0,➡️ STEADY,False,0,🔒 NO OVERTAKE OPPORTUNITY,success
9,889,498,69,43,2967,2967.0,1.0,0,0,0,➡️ STEADY,False,0,🔒 NO OVERTAKE OPPORTUNITY,success
10,889,498,69,43,2967,2967.0,1.0,0,0,0,➡️ STEADY,False,0,🔒 NO OVERTAKE OPPORTUNITY,success
11,890,498,69,43,2967,2967.0,1.0,0,0,0,➡️ STEADY,False,0,🔒 NO OVERTAKE OPPORTUNITY,success
12,889,497,69,43,2967,2967.0,1.0,0,0,0,➡️ STEADY,False,0,🔒 NO OVERTAKE OPPORTUNITY,success
13,889,498,69,43,2967,2967.0,1.0,0,0,0,➡️ STEADY,False,0,🔒 NO OVERTAKE OPPORTUNITY,success
14,889,497,69,43,2967,2967.0,1.0,0,0,0,➡️ STEADY,False,0,🔒 NO OVERTAKE OPPORTUNITY,success
15,888,497,72,45,3240,2994.3,1.0092012133468151,273,273,0,📈 APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,success
16,889,498,69,43,2967,2994.3,1.0092012133468151,0,273,0,➡️ STEADY,True,0,🔒 NO OVERTAKE OPPORTUNITY,success
17,889,498,69,43,2967,2994.3,1.0092012133468151,0,273,0,➡️ STEADY,True,0,🔒 NO OVERTAKE OPPORTUNITY,success
18,891,499,66,41,2706,2968.2,1.0004044489383215,-261,0,0,📉 MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,success
19,888,498,69,43,2967,2968.2,1.0004044489383215,0,0,0,➡️ STEADY,False,0,🔒 NO OVERTAKE OPPORTUNITY,success
