frame,area_ratio,block_diff,status,overtake_chance,duration_penalty
1,1.0,0.0,COLLECTING DATA...,0,0.0
2,1.0,0.0,COLLECTING DATA...,0,0.0
3,1.0,0.0,COLLECTING DATA...,0,0.0
4,1.0,0.0,COLLECTING DATA...,0,0.0
5,1.0,0.0,COLLECTING DATA...,0,0.0
6,1.0,0.0,COLLECTING DATA...,0,0.0
7,1.0,0.0,COLLECTING DATA...,0,0.0
8,1.0,0.0,COLLECTING DATA...,0,0.0
9,1.0,0.0,COLLECTING DATA...,0,0.0
10,1.0,0.0,MOVING AWAY,0,0.0
11,1.0,0.0,MOVING AWAY,0,0.0
12,1.0,0.0,MOVING AWAY,0,0.0
13,1.0,0.0,MOVING AWAY,0,0.0
14,1.0,0.0,MOVING AWAY,0,0.0
15,1.0,0.0,MOVING AWAY,0,0.0
16,1.0,0.0,MOVING AWAY,0,0.0
17,1.0,0.0,MOVING AWAY,0,0.0
18,0.9150326797385621,0.0,MOVING AWAY,0,0.0
19,1.0,0.0,MOVING AWAY,0,0.0
20,0.9830065359477125,-54.59999999999991,MOVING AWAY,0,0.0
21,1.0,-54.59999999999991,MOVING AWAY,0,0.0
22,1.0,-54.59999999999991,MOVING AWAY,0,0.0
23,1.0,-54.59999999999991,MOVING AWAY,0,0.0
24,1.0,-54.59999999999991,MOVING AWAY,0,0.0
25,1.0,54.59999999999991,APPROACHING,0,0.0
26,1.0,54.59999999999991,APPROACHING,0,0.0
27,1.0,54.59999999999991,APPROACHING,0,0.0
28,1.0,54.59999999999991,APPROACHING,0,0.0
29,1.0,54.59999999999991,APPROACHING,0,0.0
30,1.0,0.0,MOVING AWAY,0,0.0
31,1.1092436974789917,0.0,MOVING AWAY,0,0.0
32,1.1092436974789917,0.0,MOVING AWAY,0,0.0
33,1.1092436974789917,0.0,MOVING AWAY,0,0.0
34,1.1092436974789917,0.0,MOVING AWAY,0,0.0
35,1.1092436974789917,351.0,APPROACHING,0,0.0
36,1.1092436974789917,351.0,APPROACHING,0,0.0
37,1.1092436974789917,351.0,APPROACHING,0,0.0
38,1.1092436974789917,351.0,APPROACHING,0,0.0
39,1.0,351.0,APPROACHING,0,0.0
40,1.065546218487395,-140.4000000000001,MOVING AWAY,0,0.0
41,1.0,-140.4000000000001,MOVING AWAY,0,0.0
42,1.0,-140.4000000000001,MOVING AWAY,0,0.0
43,1.0,-140.4000000000001,MOVING AWAY,0,0.0
44,1.0,-140.4000000000001,MOVING AWAY,0,0.0
45,1.0,-210.5999999999999,MOVING AWAY,0,0.0
46,1.0,-210.5999999999999,MOVING AWAY,0,0.0
47,1.0,-210.5999999999999,MOVING AWAY,0,0.0
48,1.0,-210.5999999999999,MOVING AWAY,0,0.0
49,1.0,-210.5999999999999,MOVING AWAY,0,0.0
50,0.9830065359477125,-54.59999999999991,MOVING AWAY,0,0.0
51,1.0,-54.59999999999991,MOVING AWAY,0,0.0
52,1.0,-54.59999999999991,MOVING AWAY,0,0.0
53,1.0,-54.59999999999991,MOVING AWAY,0,0.0
54,1.0,-54.59999999999991,MOVING AWAY,0,0.0
55,1.0,54.59999999999991,APPROACHING,0,0.0
56,1.0,54.59999999999991,APPROACHING,0,0.0
57,1.0,54.59999999999991,APPROACHING,0,0.0
58,1.0,54.59999999999991,APPROACHING,0,0.0
59,1.0,54.59999999999991,APPROACHING,0,0.0
60,1.0,0.0,MOVING AWAY,0,0.0
61,1.1092436974789917,0.0,MOVING AWAY,0,0.0
62,1.1092436974789917,0.0,MOVING AWAY,0,0.0
63,1.1092436974789917,0.0,MOVING AWAY,0,0.0
64,1.1092436974789917,0.0,MOVING AWAY,0,0.0
65,1.1092436974789917,351.0,APPROACHING,0,0.0
66,1.1092436974789917,351.0,APPROACHING,0,0.0
67,1.1092436974789917,351.0,APPROACHING,0,0.0
68,1.1092436974789917,351.0,APPROACHING,0,0.0
69,1.1092436974789917,351.0,APPROACHING,0,0.0
70,1.1279178338001867,60.0,APPROACHING,0,0.0
71,1.2026143790849673,60.0,APPROACHING,1,0.0
72,1.2026143790849673,60.0,APPROACHING,2,0.0
73,1.1092436974789917,60.0,APPROACHING,2,0.0
74,1.1092436974789917,60.0,APPROACHING,2,0.0
75,1.165266106442577,120.0,APPROACHING,2,0.0
76,1.1092436974789917,120.0,APPROACHING,2,0.0
77,1.1092436974789917,120.0,APPROACHING,2,0.0
78,1.2026143790849673,120.0,APPROACHING,3,0.0
79,1.2026143790849673,120.0,APPROACHING,4,0.0
80,1.165266106442577,0.0,MOVING AWAY,4,0.0
81,1.2026143790849673,0.0,MOVING AWAY,4,0.0
82,1.1092436974789917,0.0,MOVING AWAY,3,0.0
