frame,x,y,width,height,box_area,smoothed_area,area_ratio,speed,max_approach_speed,approach_duration,status,is_approaching,overtake_chance,overtake_status,duration_penalty,size_score,speed_score,tracking
1,910,464,101,70,7070,7070.0,1.0,0.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
2,914,465,96,67,6432,6432.0,0.9097595473833098,-638.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
3,919,468,87,60,5220,5220.0,0.7383309759547383,-925.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
4,916,467,87,60,5220,5220.0,0.7383309759547383,-606.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
5,914,464,96,67,6432,6074.8,0.8592362093352193,606.0,606.0,0,APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
6,919,465,92,63,5796,5820.0,0.8231966053748232,288.0,606.0,1,APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
7,920,466,92,63,5796,5692.8,0.8052050919377652,-318.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
8,918,464,96,67,6432,5935.2,0.8394908062234795,318.0,318.0,0,APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
9,919,465,96,67,6432,6177.6,0.8737765205091939,318.0,318.0,1,APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
10,922,466,92,63,5796,6050.4,0.8557850070721358,-318.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
11,919,465,96,67,6432,6177.6,0.8737765205091939,0.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
12,919,465,96,67,6432,6304.8,0.8917680339462518,318.0,318.0,0,APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
13,916,464,101,70,7070,6432.4,0.9098161244695898,319.0,319.0,1,APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
14,917,464,101,70,7070,6560.0,0.9278642149929278,319.0,319.0,2,APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
15,917,464,101,70,7070,6814.8,0.9639038189533239,0.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
16,922,467,92,63,5796,6687.6,0.9459123055162659,-637.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
17,920,467,92,63,5796,6560.4,0.9279207920792079,-637.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
18,917,466,96,67,6432,6432.8,0.9098727015558699,318.0,318.0,0,APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
19,918,466,96,67,6432,6305.2,0.8918246110325317,318.0,318.0,1,APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
20,913,462,106,74,7844,6460.0,0.9137199434229137,706.0,706.0,2,APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
21,917,462,106,74,7844,6869.6,0.9716548797736917,706.0,706.0,3,APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
22,922,466,96,67,6432,6996.8,0.9896463932107497,-706.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
23,918,466,96,67,6432,6996.8,0.9896463932107497,-706.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
24,918,466,96,67,6432,6996.8,0.9896463932107497,0.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
25,918,466,96,67,6432,6714.4,0.9497029702970297,0.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
26,916,465,101,70,7070,6559.6,0.9278076379066479,319.0,319.0,0,APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
27,915,465,101,70,7070,6687.2,0.9458557284299858,319.0,319.0,1,APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
28,917,467,96,67,6432,6687.2,0.9458557284299858,-319.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
29,912,465,101,70,7070,6814.8,0.9639038189533239,0.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
30,913,466,101,70,7070,6942.4,0.9819519094766619,319.0,319.0,0,APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
31,914,468,96,67,6432,6814.8,0.9639038189533239,-319.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
32,913,468,96,67,6432,6687.2,0.9458557284299858,-319.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
33,910,466,101,70,7070,6814.8,0.9639038189533239,319.0,319.0,0,APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
34,911,466,101,70,7070,6814.8,0.9639038189533239,319.0,319.0,1,APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
35,914,467,96,67,6432,6687.2,0.9458557284299858,-319.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
36,911,465,101,70,7070,6814.8,0.9639038189533239,0.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
37,914,467,96,67,6432,6814.8,0.9639038189533239,0.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
38,910,465,101,70,7070,6814.8,0.9639038189533239,0.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
39,907,464,106,74,7844,6969.6,0.9857991513437059,706.0,706.0,0,APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
40,910,466,101,70,7070,7097.2,1.0038472418670439,0.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
41,908,466,101,70,7070,7097.2,1.0038472418670439,-387.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
42,905,465,106,74,7844,7379.6,1.0437906647807638,387.0,387.0,0,APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
43,905,466,106,74,7844,7534.4,1.0656859971711456,387.0,387.0,1,APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
44,902,465,111,77,8547,7675.0,1.0855728429985856,351.5,387.0,2,APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
45,904,469,106,74,7844,7829.8,1.1074681753889675,0.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
46,902,470,106,74,7844,7984.6,1.1293635077793494,-351.5,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
47,900,470,106,74,7844,7984.6,1.1293635077793494,0.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
48,898,471,106,74,7844,7984.6,1.1293635077793494,0.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
49,890,468,117,81,9477,8170.6,1.1556718528995757,816.5,816.5,0,APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
50,894,471,111,77,8547,8311.2,1.1755586987270157,351.5,816.5,1,APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
51,896,473,106,74,7844,8311.2,1.1755586987270157,-816.5,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
52,888,472,111,77,8547,8451.8,1.1954455445544554,0.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
53,888,473,111,77,8547,8592.4,1.2153323903818953,351.5,351.5,0,APPROACHING,True,1,🔒 NO OVERTAKE OPPORTUNITY,0,0.7666195190947688,0,success
54,884,472,117,81,9477,8592.4,1.2153323903818953,465.0,465.0,1,APPROACHING,True,2,🔒 NO OVERTAKE OPPORTUNITY,0,0.7666195190947688,0,success
