frame,x,y,width,height,box_area,smoothed_area,area_ratio,speed,max_approach_speed,approach_duration,status,is_approaching,overtake_chance,overtake_status,tracking
1,885,492,70,48,3360,3360.0,1.0,0,0,0,➡️ STEADY,False,13,👀 WATCHING FOR OVERTAKE,success
2,885,492,70,48,3360,3360.0,1.0,0,0,0,➡️ STEADY,False,13,👀 WATCHING FOR OVERTAKE,success
3,886,492,70,48,3360,3360.0,1.0,0,0,0,➡️ STEADY,False,13,👀 WATCHING FOR OVERTAKE,success
4,887,492,70,48,3360,3360.0,1.0,0,0,0,➡️ STEADY,False,13,👀 WATCHING FOR OVERTAKE,success
5,887,492,70,48,3360,3360.0,1.0,0,0,0,➡️ STEADY,False,13,👀 WATCHING FOR OVERTAKE,success
6,887,493,70,48,3360,3360.0,1.0,0,0,0,➡️ STEADY,False,13,👀 WATCHING FOR OVERTAKE,success
7,887,493,70,48,3360,3360.0,1.0,0,0,0,➡️ STEADY,False,13,👀 WATCHING FOR OVERTAKE,success
8,885,492,74,50,3700,3700.0,1.1011904761904763,340,340,0,📈 APPROACHING,True,48,⚡ MEDIUM OVERTAKE CHANCE,success
9,887,493,70,48,3360,3360.0,1.0,0,340,0,➡️ STEADY,True,48,⚡ MEDIUM OVERTAKE CHANCE,success
10,887,493,70,48,3360,3394.0,1.0101190476190476,0,340,0,➡️ STEADY,True,48,⚡ MEDIUM OVERTAKE CHANCE,success
11,887,493,70,48,3360,3394.0,1.0101190476190476,0,340,0,➡️ STEADY,True,48,⚡ MEDIUM OVERTAKE CHANCE,success
12,887,493,70,48,3360,3394.0,1.0101190476190476,0,340,0,➡️ STEADY,True,48,⚡ MEDIUM OVERTAKE CHANCE,success
13,888,494,67,46,3082,3366.2,1.001845238095238,-618,0,0,📉 MOVING AWAY,False,13,👀 WATCHING FOR OVERTAKE,success
14,888,493,67,46,3082,3338.4,0.9935714285714285,-278,0,0,📉 MOVING AWAY,False,13,👀 WATCHING FOR OVERTAKE,success
