frame,x,y,width,height,box_area,smoothed_area,area_ratio,overtake_chance,status,tracking
1,884,500,72,42,3024,3024.0,1.0,28,📉 LOW OVERTAKE CHANCE,success
2,885,500,72,42,3024,3024.0,1.0,28,📉 LOW OVERTAKE CHANCE,success
3,885,500,72,42,3024,3024.0,1.0,28,📉 LOW OVERTAKE CHANCE,success
4,886,500,72,42,3024,3024.0,1.0,28,📉 LOW OVERTAKE CHANCE,success
5,886,500,72,42,3024,3024.0,1.0,28,📉 LOW OVERTAKE CHANCE,success
6,886,500,72,42,3024,3024.0,1.0,28,📉 LOW OVERTAKE CHANCE,success
7,886,501,72,42,3024,3024.0,1.0,28,📉 LOW OVERTAKE CHANCE,success
8,886,501,72,42,3024,3024.0,1.0,28,📉 LOW OVERTAKE CHANCE,success
9,886,501,72,42,3024,3024.0,1.0,28,📉 LOW OVERTAKE CHANCE,success
10,886,501,72,42,3024,3024.0,1.0,28,📉 LOW OVERTAKE CHANCE,success
11,886,501,72,42,3024,3024.0,1.0,28,📉 LOW OVERTAKE CHANCE,success
12,886,500,72,42,3024,3024.0,1.0,28,📉 LOW OVERTAKE CHANCE,success
13,886,499,72,42,3024,3024.0,1.0,28,📉 LOW OVERTAKE CHANCE,success
14,886,500,72,42,3024,3024.0,1.0,28,📉 LOW OVERTAKE CHANCE,success
15,884,499,76,44,3344,3045.3333333333335,1.0070546737213404,29,📉 LOW OVERTAKE CHANCE,success
16,886,501,72,42,3024,3045.3333333333335,1.0070546737213404,29,📉 LOW OVERTAKE CHANCE,success
17,886,501,72,42,3024,3045.3333333333335,1.0070546737213404,29,📉 LOW OVERTAKE CHANCE,success
18,885,501,72,42,3024,3045.3333333333335,1.0070546737213404,29,📉 LOW OVERTAKE CHANCE,success
19,885,501,72,42,3024,3045.3333333333335,1.0070546737213404,29,📉 LOW OVERTAKE CHANCE,success
20,887,503,69,40,2760,3027.733333333333,1.0012345679012344,28,📉 LOW OVERTAKE CHANCE,success
21,885,501,72,42,3024,3027.733333333333,1.0012345679012344,28,📉 LOW OVERTAKE CHANCE,success
22,884,501,72,42,3024,3027.733333333333,1.0012345679012344,28,📉 LOW OVERTAKE CHANCE,success
23,885,501,69,40,2760,3010.133333333333,0.9954144620811287,27,📉 LOW OVERTAKE CHANCE,success
24,884,501,69,40,2760,2992.5333333333333,0.9895943562610229,27,📉 LOW OVERTAKE CHANCE,success
25,880,499,76,44,3344,3013.866666666667,0.9966490299823634,28,📉 LOW OVERTAKE CHANCE,success
26,881,500,72,42,3024,3013.866666666667,0.9966490299823634,28,📉 LOW OVERTAKE CHANCE,success
27,880,501,72,42,3024,3013.866666666667,0.9966490299823634,28,📉 LOW OVERTAKE CHANCE,success
28,880,503,69,40,2760,2996.266666666667,0.9908289241622575,27,📉 LOW OVERTAKE CHANCE,success
29,880,503,69,40,2760,2978.6666666666665,0.9850088183421516,26,📉 LOW OVERTAKE CHANCE,success
30,880,503,69,40,2760,2939.733333333333,0.9721340388007054,24,📉 LOW OVERTAKE CHANCE,success
31,875,500,76,44,3344,2961.0666666666666,0.9791887125220459,25,📉 LOW OVERTAKE CHANCE,success
32,872,499,79,46,3634,3001.733333333333,0.992636684303351,27,📉 LOW OVERTAKE CHANCE,success
33,872,497,79,46,3634,3042.4,1.0060846560846561,29,📉 LOW OVERTAKE CHANCE,success
34,870,495,79,46,3634,3083.0666666666666,1.019532627865961,31,📉 LOW OVERTAKE CHANCE,success
35,869,495,79,46,3634,3141.3333333333335,1.0388007054673722,34,📉 LOW OVERTAKE CHANCE,success
36,868,494,76,44,3344,3162.6666666666665,1.0458553791887124,35,📉 LOW OVERTAKE CHANCE,success
37,866,494,76,44,3344,3184.0,1.052910052910053,36,📉 LOW OVERTAKE CHANCE,success
38,861,494,79,46,3634,3242.266666666667,1.072178130511464,38,📉 LOW OVERTAKE CHANCE,success
39,862,494,76,44,3344,3281.2,1.08505291005291,40,⚡ MEDIUM OVERTAKE CHANCE,success
40,860,495,79,46,3634,3300.5333333333333,1.0914462081128748,41,⚡ MEDIUM OVERTAKE CHANCE,success
41,856,496,79,46,3634,3341.2,1.1048941798941798,43,⚡ MEDIUM OVERTAKE CHANCE,success
42,855,496,79,46,3634,3381.866666666667,1.118342151675485,45,⚡ MEDIUM OVERTAKE CHANCE,success
43,853,496,79,46,3634,3440.133333333333,1.137610229276896,48,⚡ MEDIUM OVERTAKE CHANCE,success
44,851,497,79,46,3634,3498.4,1.1568783068783068,50,⚡ MEDIUM OVERTAKE CHANCE,success
45,851,498,76,44,3344,3537.3333333333335,1.1697530864197532,52,⚡ MEDIUM OVERTAKE CHANCE,success
46,847,497,79,46,3634,3556.6666666666665,1.1761463844797178,53,⚡ MEDIUM OVERTAKE CHANCE,success
47,846,497,79,46,3634,3556.6666666666665,1.1761463844797178,53,⚡ MEDIUM OVERTAKE CHANCE,success
48,843,496,79,46,3634,3556.6666666666665,1.1761463844797178,53,⚡ MEDIUM OVERTAKE CHANCE,success
49,842,497,79,46,3634,3556.6666666666665,1.1761463844797178,53,⚡ MEDIUM OVERTAKE CHANCE,success
50,843,498,76,44,3344,3537.3333333333335,1.1697530864197532,52,⚡ MEDIUM OVERTAKE CHANCE,success
51,840,499,79,46,3634,3556.6666666666665,1.1761463844797178,53,⚡ MEDIUM OVERTAKE CHANCE,success
52,840,500,76,44,3344,3556.6666666666665,1.1761463844797178,53,⚡ MEDIUM OVERTAKE CHANCE,success
53,838,499,79,46,3634,3556.6666666666665,1.1761463844797178,53,⚡ MEDIUM OVERTAKE CHANCE,success
54,840,500,76,44,3344,3556.6666666666665,1.1761463844797178,53,⚡ MEDIUM OVERTAKE CHANCE,success
55,839,500,76,44,3344,3537.3333333333335,1.1697530864197532,52,⚡ MEDIUM OVERTAKE CHANCE,success
56,839,499,76,44,3344,3518.0,1.1633597883597884,51,⚡ MEDIUM OVERTAKE CHANCE,success
57,840,498,76,44,3344,3498.6666666666665,1.1569664902998236,50,⚡ MEDIUM OVERTAKE CHANCE,success
58,838,497,79,46,3634,3498.6666666666665,1.1569664902998236,50,⚡ MEDIUM OVERTAKE CHANCE,success
59,838,497,79,46,3634,3498.6666666666665,1.1569664902998236,50,⚡ MEDIUM OVERTAKE CHANCE,success
