frame,pov_x,pov_y,front_x,front_y,rel_x,rel_y,tracking
1,988,805,923,518,-65,-287,success
2,989,805,924,518,-65,-287,success
3,990,806,924,518,-66,-288,success
4,989,806,924,518,-65,-288,success
5,989,806,924,518,-65,-288,success
6,989,806,924,518,-65,-288,success
7,989,806,924,518,-65,-288,success
8,990,806,924,518,-66,-288,success
9,990,805,924,519,-66,-286,success
10,990,806,924,518,-66,-288,success
11,989,806,925,518,-64,-288,success
12,990,806,925,518,-65,-288,success
13,989,805,925,518,-64,-287,success
14,988,805,925,518,-63,-287,success
15,988,805,925,518,-63,-287,success
16,989,805,924,518,-65,-287,success
17,989,805,924,518,-65,-287,success
18,989,805,924,519,-65,-286,success
19,990,805,924,520,-66,-285,success
20,990,804,924,520,-66,-284,success
21,989,803,923,519,-66,-284,success
22,989,803,923,519,-66,-284,success
23,988,802,921,518,-67,-284,success
24,987,801,922,518,-65,-283,success
25,988,798,921,518,-67,-280,success
26,989,797,919,518,-70,-279,success
27,990,794,919,519,-71,-275,success
28,994,789,916,520,-78,-269,success
29,994,789,916,520,-78,-269,success
30,994,790,916,520,-78,-270,success
31,991,789,915,519,-76,-270,success
32,993,790,914,518,-79,-272,success
33,990,792,915,518,-75,-274,success
34,990,797,912,516,-78,-281,success
35,989,797,912,515,-77,-282,success
36,989,797,909,514,-80,-283,success
37,992,800,907,514,-85,-286,success
38,997,797,903,514,-94,-283,success
39,1000,798,903,514,-97,-284,success
40,1001,796,901,514,-100,-282,success
41,1003,796,898,515,-105,-281,success
42,1004,797,897,516,-107,-281,success
43,1002,798,894,516,-108,-282,success
44,999,799,892,516,-107,-283,success
45,999,798,890,516,-109,-282,success
46,997,796,887,516,-110,-280,success
47,995,798,887,516,-108,-282,success
48,997,797,884,516,-113,-281,success
49,1000,797,883,517,-117,-280,success
50,1002,798,881,517,-121,-281,success
51,1007,796,880,519,-127,-277,success
52,1014,798,878,519,-136,-279,success
53,1014,797,878,519,-136,-278,success
54,1014,798,878,518,-136,-280,success
55,1013,796,878,518,-135,-278,success
56,1010,793,878,518,-132,-275,success
57,1011,797,879,518,-132,-279,success
58,1010,796,879,517,-131,-279,success
59,1012,798,879,517,-133,-281,success
60,1017,799,878,517,-139,-282,success
61,1015,795,877,517,-138,-278,success
62,1017,798,876,517,-141,-281,success
63,1018,796,872,517,-146,-279,success
64,1018,798,871,517,-147,-281,success
65,1020,799,870,517,-150,-282,success
66,1015,799,868,517,-147,-282,success
67,1015,800,866,517,-149,-283,success
68,1008,798,865,516,-143,-282,success
69,1008,800,865,516,-143,-284,success
70,1011,800,864,516,-147,-284,success
71,1012,798,864,515,-148,-283,success
72,1014,798,864,515,-150,-283,success
73,1013,796,865,515,-148,-281,success
74,1014,797,866,515,-148,-282,success
75,1014,796,867,516,-147,-280,success
76,1014,796,870,516,-144,-280,success
77,1014,800,871,516,-143,-284,success
78,1017,798,875,515,-142,-283,success
79,1016,799,876,515,-140,-284,success
80,1016,799,877,515,-139,-284,success
81,1016,798,878,516,-138,-282,success
82,1015,798,878,516,-137,-282,success
83,1014,797,878,517,-136,-280,success
84,1013,796,878,517,-135,-279,success
85,1011,798,878,517,-133,-281,success
86,1010,797,878,517,-132,-280,success
87,1010,799,878,517,-132,-282,success
88,1010,797,878,518,-132,-279,success
89,1008,798,879,518,-129,-280,success
90,1007,797,879,518,-128,-279,success
91,1004,797,881,518,-123,-279,success
92,1003,794,882,518,-121,-276,success
93,1002,793,885,518,-117,-275,success
94,1001,794,885,518,-116,-276,success
95,1001,794,885,518,-116,-276,success
96,1004,796,886,520,-118,-276,success
97,1007,797,888,520,-119,-277,success
98,1006,798,891,521,-115,-277,success
99,1004,798,891,521,-113,-277,success
100,1000,799,892,520,-108,-279,success
101,998,799,894,520,-104,-279,success
102,1000,799,894,519,-106,-280,success
103,1001,799,895,520,-106,-279,success
104,1003,800,895,521,-108,-279,success
105,1003,800,895,522,-108,-278,success
106,1005,800,896,523,-109,-277,success
107,1007,801,896,523,-111,-278,success
108,1005,801,898,523,-107,-278,success
109,1006,801,899,523,-107,-278,success
110,1006,802,900,522,-106,-280,success
111,1006,803,902,522,-104,-281,success
112,1006,802,903,521,-103,-281,success
113,1008,802,903,521,-105,-281,success
114,1008,802,904,520,-104,-282,success
115,1009,801,904,520,-105,-281,success
116,1010,801,905,519,-105,-282,success
117,1010,801,906,519,-104,-282,success
118,1011,801,907,520,-104,-281,success
119,1012,800,907,520,-105,-280,success
120,1012,800,907,520,-105,-280,success
121,1011,800,907,520,-104,-280,success
122,1011,799,906,520,-105,-279,success
123,1012,799,905,520,-107,-279,success
124,1013,799,904,520,-109,-279,success
125,1012,800,903,519,-109,-281,success
126,1011,800,901,519,-110,-281,success
127,1011,801,902,519,-109,-282,success
128,1010,799,899,519,-111,-280,success
129,1008,799,898,519,-110,-280,success
130,1009,800,897,520,-112,-280,success
131,1009,799,895,520,-114,-279,success
132,1008,799,894,520,-114,-279,success
133,1007,799,892,520,-115,-279,success
134,1009,800,891,520,-118,-280,success
135,1008,800,890,520,-118,-280,success
136,1008,800,889,520,-119,-280,success
137,1008,800,888,520,-120,-280,success
138,1007,800,886,520,-121,-280,success
139,1006,801,886,519,-120,-282,success
140,1005,801,885,520,-120,-281,success
141,1004,802,885,520,-119,-282,success
142,1003,802,885,521,-118,-281,success
143,1003,802,884,520,-119,-282,success
144,1002,802,883,520,-119,-282,success
145,1002,802,883,520,-119,-282,success
146,1002,802,883,519,-119,-283,success
147,1001,802,882,517,-119,-285,success
148,1001,802,882,517,-119,-285,success
149,1001,801,882,515,-119,-286,success
