frame,x,y,width,height,tracking
1,894,492,60,50,success
2,896,493,58,48,success
3,895,492,61,51,success
4,896,492,60,50,success
5,896,492,60,50,success
6,897,493,58,48,success
7,896,492,61,51,success
8,893,491,65,54,success
9,896,492,61,51,success
10,895,492,62,52,success
11,896,493,60,50,success
12,896,492,61,51,success
13,896,492,60,50,success
14,896,492,61,51,success
15,896,492,60,50,success
16,896,492,61,51,success
17,896,493,59,49,success
18,896,494,60,50,success
19,895,493,62,52,success
20,894,492,64,53,success
21,894,492,64,53,success
22,893,492,65,54,success
23,889,489,69,57,success
24,892,490,64,53,success
25,891,491,64,53,success
26,890,491,64,53,success
27,890,493,62,52,success
28,888,493,62,52,success
29,886,492,65,54,success
30,887,493,61,51,success
31,886,493,61,51,success
32,884,491,62,52,success
33,884,491,60,50,success
34,882,489,61,51,success
35,881,488,61,51,success
36,878,487,61,51,success
37,877,486,61,51,success
38,873,486,64,53,success
39,872,486,65,54,success
40,872,487,62,52,success
41,866,486,68,56,success
42,865,488,69,57,success
43,862,488,68,56,success
44,861,488,68,56,success
45,858,488,70,59,success
46,856,487,70,59,success
47,855,487,70,59,success
48,853,487,69,57,success
49,851,487,70,59,success
50,851,488,69,57,success
51,850,490,68,56,success
52,847,489,70,59,success
53,846,489,72,60,success
54,847,489,70,59,success
55,846,488,72,60,success
56,847,488,70,59,success
57,848,487,70,59,success
58,848,488,69,57,success
59,848,488,69,57,success
60,847,487,69,57,success
61,845,487,68,56,success
62,845,489,68,56,success
63,842,489,68,56,success
64,839,487,72,60,success
65,837,486,73,61,success
66,834,486,73,61,success
67,833,486,73,61,success
68,832,485,73,61,success
69,831,485,73,61,success
70,831,484,73,61,success
71,830,484,75,62,success
72,830,484,75,62,success
73,832,484,75,62,success
74,833,484,75,62,success
75,834,485,73,61,success
76,840,486,70,59,success
77,840,486,70,59,success
78,842,485,73,61,success
79,842,484,73,61,success
80,843,484,75,62,success
81,844,485,73,61,success
82,845,485,73,61,success
83,845,487,73,61,success
84,845,486,73,61,success
85,845,487,73,61,success
86,844,486,75,62,success
87,845,486,75,62,success
88,844,488,75,62,success
89,845,487,75,62,success
90,845,487,75,62,success
91,848,487,75,62,success
92,849,486,75,62,success
93,852,486,75,62,success
94,852,486,75,62,success
95,853,487,73,61,success
96,854,490,73,61,success
97,855,489,73,61,success
98,857,490,75,62,success
99,858,490,75,62,success
100,859,489,75,62,success
101,861,489,73,61,success
102,862,489,70,59,success
103,863,491,70,59,success
104,862,490,72,60,success
105,861,490,73,61,success
106,863,493,73,61,success
107,863,493,73,61,success
108,867,493,70,59,success
109,866,493,72,60,success
110,867,493,70,59,success
111,869,492,70,59,success
112,870,492,69,57,success
113,872,491,68,56,success
114,873,492,66,55,success
115,874,492,65,54,success
116,875,492,65,54,success
117,876,492,65,54,success
118,877,494,62,52,success
119,877,492,64,53,success
120,875,491,68,56,success
121,876,492,65,54,success
122,876,491,64,53,success
123,875,493,64,53,success
124,872,490,68,56,success
125,872,492,65,54,success
126,872,491,64,53,success
127,871,492,65,54,success
128,868,491,66,55,success
129,868,491,64,53,success
130,867,491,65,54,success
131,865,492,65,54,success
132,862,492,66,55,success
133,862,492,64,53,success
134,861,492,66,55,success
135,860,491,65,54,success
136,858,491,66,55,success
137,857,492,66,55,success
138,856,491,66,55,success
139,854,490,69,57,success
140,854,490,68,56,success
141,854,492,66,55,success
142,852,491,69,57,success
143,851,490,68,56,success
144,850,489,70,59,success
145,850,489,70,59,success
146,852,488,69,57,success
147,850,488,68,56,success
148,850,487,68,56,success
149,849,485,69,57,success
150,850,485,66,55,success
151,849,482,69,57,success
152,849,481,68,56,success
153,849,480,68,56,success
154,848,478,70,59,success
155,849,478,69,57,success
156,849,476,69,57,success
157,849,476,69,57,success
158,849,476,68,56,success
159,848,475,72,60,success
160,848,475,69,57,success
161,847,474,70,59,success
162,848,473,72,60,success
163,848,472,72,60,success
164,848,470,73,61,success
165,848,469,75,62,success
166,848,469,75,62,success
167,848,468,76,63,success
168,848,468,78,65,success
169,848,469,76,63,success
170,848,469,76,63,success
171,850,470,73,61,success
172,850,470,75,62,success
173,851,469,76,63,success
174,851,469,76,63,success
175,851,468,78,65,success
176,853,470,75,62,success
177,854,470,76,63,success
178,853,470,78,65,success
179,854,470,76,63,success
180,854,470,78,65,success
181,856,470,76,63,success
182,854,468,79,66,success
183,854,468,81,67,success
184,854,468,81,67,success
185,854,468,81,67,success
186,853,465,84,70,success
187,853,464,86,71,success
188,853,462,87,73,success
189,853,462,87,73,success
190,854,462,87,73,success
191,853,463,89,74,success
192,854,464,87,73,success
193,856,465,86,71,success
194,856,465,87,73,success
195,856,466,87,73,success
196,858,466,86,71,success
197,857,465,89,74,success
198,858,465,87,73,success
199,860,466,86,71,success
200,861,466,86,71,success
201,862,466,86,71,success
202,862,466,86,71,success
203,862,466,87,73,success
204,863,466,86,71,success
205,864,467,86,71,success
206,863,467,87,73,success
207,864,468,86,71,success
208,867,470,82,69,success
209,868,469,86,71,success
210,866,469,87,73,success
211,868,469,86,71,success
212,868,468,87,73,success
213,869,468,86,71,success
214,869,467,87,73,success
215,870,467,86,71,success
216,870,466,87,73,success
217,870,467,86,71,success
218,869,468,87,73,success
219,871,469,84,70,success
220,872,471,82,69,success
221,870,470,86,71,success
222,871,472,84,70,success
223,869,471,86,71,success
224,867,471,87,73,success
225,865,471,89,74,success
226,864,471,87,73,success
227,864,472,86,71,success
228,860,470,91,76,success
229,859,470,89,74,success
230,858,470,89,74,success
231,855,468,93,77,success
232,856,470,89,74,success
233,853,469,91,76,success
234,852,469,91,76,success
235,851,469,91,76,success
236,850,470,91,76,success
237,849,472,89,74,success
238,848,472,91,76,success
239,848,473,89,74,success
240,848,475,86,71,success
241,847,475,87,73,success
242,846,475,89,74,success
243,847,476,86,71,success
244,846,475,89,74,success
245,846,475,87,73,success
246,847,476,86,71,success
247,846,476,87,73,success
248,847,476,86,71,success
249,847,476,87,73,success
250,847,477,87,73,success
251,848,477,87,73,success
252,849,477,86,71,success
253,849,477,87,73,success
254,850,478,86,71,success
255,850,478,86,71,success
256,850,478,86,71,success
257,850,478,87,73,success
258,853,480,82,69,success
259,852,479,86,71,success
260,852,479,87,73,success
261,853,480,86,71,success
262,854,481,84,70,success
263,854,481,86,71,success
264,855,481,86,71,success
265,857,482,84,70,success
266,860,482,84,70,success
267,859,481,86,71,success
268,860,481,86,71,success
269,861,481,86,71,success
270,862,481,84,70,success
271,865,481,84,70,success
272,863,481,86,71,success
273,866,481,84,70,success
274,866,481,86,71,success
275,868,481,84,70,success
276,875,483,81,67,success
277,871,481,86,71,success
278,875,480,87,73,success
279,875,480,87,73,success
280,878,480,86,71,success
281,882,480,87,73,success
282,885,481,84,70,success
283,889,480,87,73,success
284,890,481,86,71,success
285,893,481,84,70,success
286,896,480,87,73,success
287,899,480,86,71,success
288,900,480,87,73,success
289,900,479,89,74,success
290,905,480,86,71,success
291,907,480,86,71,success
292,908,480,86,71,success
293,911,478,89,74,success
294,910,477,91,76,success
295,916,477,91,76,success
296,919,478,87,73,success
297,923,478,87,73,success
298,928,478,87,73,success
299,929,478,87,73,success
300,932,479,84,70,success
301,937,479,86,71,success
302,939,478,87,73,success
303,943,478,87,73,success
304,946,480,84,70,success
305,951,479,86,71,success
306,953,477,91,76,success
307,956,478,89,74,success
308,960,477,89,74,success
309,963,477,89,74,success
310,964,478,87,73,success
311,969,478,87,73,success
312,971,478,86,71,success
313,976,478,87,73,success
314,978,478,86,71,success
315,981,479,84,70,success
316,986,478,86,71,success
317,988,478,86,71,success
318,993,478,87,73,success
319,993,478,87,73,success
320,1000,480,82,69,success
321,1002,478,87,73,success
322,1001,476,91,76,success
323,1007,478,87,73,success
324,1008,478,86,71,success
325,1008,478,87,73,success
326,1008,477,89,74,success
327,1009,477,89,74,success
328,1012,478,87,73,success
329,1013,478,86,71,success
330,1013,478,87,73,success
331,1015,477,87,73,success
332,1017,477,87,73,success
333,1019,477,87,73,success
334,1022,478,84,70,success
335,1023,477,86,71,success
336,1026,477,86,71,success
337,1029,477,86,71,success
338,1031,477,86,71,success
339,1033,477,86,71,success
340,1034,477,87,73,success
341,1034,475,87,73,success
342,1036,475,87,73,success
343,1034,475,87,73,success
344,1034,475,87,73,success
345,1034,475,86,71,success
346,1033,475,87,73,success
347,1033,475,87,73,success
348,1034,475,87,73,success
349,1036,476,86,71,success
350,1037,477,86,71,success
351,1038,478,86,71,success
352,1038,478,86,71,success
353,1039,479,86,71,success
354,1039,479,86,71,success
355,1039,479,86,71,success
356,1040,478,87,73,success
357,1041,478,86,71,success
358,1041,477,87,73,success
359,1041,476,87,73,success
360,1040,474,87,73,success
361,1039,472,87,73,success
362,1039,471,87,73,success
363,1038,470,87,73,success
364,1038,470,87,73,success
365,1038,470,87,73,success
366,1042,473,87,73,success
367,1043,473,86,71,success
368,1048,475,86,71,success
369,1053,476,86,71,success
370,1054,476,86,71,success
371,1060,476,84,70,success
372,1060,476,82,69,success
373,1060,475,84,70,success
374,1059,475,86,71,success
375,1059,476,86,71,success
376,1060,477,84,70,success
377,1062,480,82,69,success
378,1060,486,84,70,success
379,1059,487,82,69,success
380,1056,493,84,70,success
381,1049,500,84,70,success
382,1042,503,86,71,success
383,1034,505,86,71,success
384,1028,506,86,71,success
385,1024,506,87,73,success
386,1012,506,87,73,success
387,1005,504,87,73,success
388,994,498,89,74,success
389,987,495,87,73,success
390,984,494,87,73,success
391,971,487,87,73,success
392,963,481,87,73,success
393,949,474,87,73,success
394,943,468,87,73,success
395,937,466,89,74,success
396,927,460,87,73,success
397,921,460,87,73,success
398,915,465,87,73,success
399,912,472,86,71,success
400,911,474,87,73,success
401,906,483,87,73,success
402,903,488,87,73,success
403,898,494,87,73,success
404,894,494,87,73,success
405,892,495,87,73,success
406,886,497,87,73,success
407,881,498,87,73,success
408,875,498,87,73,success
409,868,497,89,74,success
410,864,494,93,77,success
411,854,489,95,79,success
412,850,486,89,74,success
413,841,480,89,74,success
414,835,474,89,74,success
415,832,473,91,76,success
416,828,469,89,74,success
417,825,468,91,76,success
418,823,469,89,74,success
419,823,470,87,73,success
420,823,471,87,73,success
421,822,474,91,76,success
422,823,477,89,74,success
423,825,483,89,74,success
424,827,486,86,71,success
425,828,488,84,70,success
426,828,491,86,71,success
427,827,491,87,73,success
428,826,491,86,71,success
429,824,491,87,73,success
430,823,491,86,71,success
